13/12/2018 05:47:43 | SUCCESS | UGC Entry Regected(7) | By-varun_ott025 | 
13/12/2018 06:14:15 | SUCCESS | Category video Entry Priority Update(409-1) | By-varun_ott025 | 
13/12/2018 06:14:15 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:14:15 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:14:16 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:14:17 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:14:17 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:15:11 | SUCCESS | Category video Entry Priority Update(409-1) | By-varun_ott025 | 
13/12/2018 06:15:11 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:15:11 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:15:11 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:15:12 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 06:15:12 | SUCCESS | Category video Entry Priority Update(409-0) | By-varun_ott025 | 
13/12/2018 12:06:06 | SUCCESS | Category video Entry Priority Update(409-5) | By-varun_ott025 | 
13/12/2018 12:06:06 | SUCCESS | Category video Entry Priority Update(409-2) | By-varun_ott025 | 
13/12/2018 12:06:06 | SUCCESS | Category video Entry Priority Update(409-3) | By-varun_ott025 | 
13/12/2018 12:06:06 | SUCCESS | Category video Entry Priority Update(409-4) | By-varun_ott025 | 
13/12/2018 12:06:06 | SUCCESS | Category video Entry Priority Update(409-6) | By-varun_ott025 | 
13/12/2018 12:06:06 | SUCCESS | Category video Entry Priority Update(409-1) | By-varun_ott025 | 
13/12/2018 12:07:04 | SUCCESS | Category video Entry Priority Update(409-1) | By-varun_ott025 | 
13/12/2018 12:07:04 | SUCCESS | Category video Entry Priority Update(409-2) | By-varun_ott025 | 
13/12/2018 12:07:04 | SUCCESS | Category video Entry Priority Update(409-3) | By-varun_ott025 | 
13/12/2018 12:07:04 | SUCCESS | Category video Entry Priority Update(409-4) | By-varun_ott025 | 
13/12/2018 12:07:04 | SUCCESS | Category video Entry Priority Update(409-6) | By-varun_ott025 | 
13/12/2018 12:07:04 | SUCCESS | Category video Entry Priority Update(409-5) | By-varun_ott025 | 
13/12/2018 12:08:02 | SUCCESS | UGC Entry Regected(80) | By-varun_ott025 | 
